model,prompt,story_id,character_name,CharTr,CharRe,char_coherence
human,original,13683,bill,1.0,1.0,0.7615941517560215
human,original,13683,tom,1.0,1.0,0.7615941517560215
human,original,13596,__NO_CHARACTER_MATCH__,,,
human,original,12423,jeff,0.4,0.8,0.46211715234471146
human,original,12423,matt,0.4,0.4,0.7615941454564064
human,original,12358,__NO_ANNOTATION__,,,
human,original,11719,billy,0.25,0.75,0.32151273354661414
human,original,11719,shia,0.75,0.75,0.761594150356107
human,original,11678,paul,0.5,1.0,0.46211715332777115
human,original,11543,__NO_ANNOTATION__,,,
human,original,11541,__NO_ANNOTATION__,,,
human,original,11457,__NO_ANNOTATION__,,,
human,original,11340,christoph,1.0,1.0,0.7615941517560215
human,original,11260,colin,0.75,0.75,0.761594150356107
human,original,11260,jamie,1.0,1.0,0.7615941517560215
human,original,10499,al,0.0,0.0,0.0
human,original,10499,robert,0.0,0.75,0.0
human,original,10486,robert,0.0,0.0,0.0
human,original,10486,val,1.0,1.0,0.7615941517560215
human,original,10408,ashton,0.2,0.2,0.7615941349570481
human,original,10408,greta,0.4,0.4,0.7615941454564064
human,original,10408,jake,0.2,0.2,0.7615941349570481
human,original,10408,natalie,0.2,0.2,0.7615941349570481
human,original,9914,matthew,0.5,1.0,0.46211715332777115
human,original,9914,reese,1.0,1.0,0.7615941517560215
human,original,9418,daniel,0.4,0.8,0.46211715234471146
human,original,9418,john,0.0,0.0,0.0
human,original,9334,harrison,0.6,1.0,0.5370495627285687
human,original,8551,__NO_ANNOTATION__,,,
human,original,8154,angelina,0.4,0.4,0.7615941454564064
human,original,8154,fisher,0.2,0.2,0.7615941349570481
human,original,8154,jonny,0.8,0.8,0.7615941507060856
human,original,8154,matthew,0.8,0.8,0.7615941507060856
human,original,8154,renoly,0.8,0.8,0.7615941507060856
human,original,8085,brooke,0.2,0.2,0.7615941349570481
human,original,8085,linda,0.4,0.4,0.7615941454564064
human,original,8085,richard,0.2,0.2,0.7615941349570481
human,original,8085,sam,0.2,1.0,0.19737531830281807
human,original,8061,ellen,0.14285714285714285,1.0,0.14189319236712353
human,original,8061,leonardo,0.2857142857142857,0.5714285714285714,0.46211715037859213
human,original,8061,robert,0.8571428571428571,0.8571428571428571,0.7615941510560642
human,original,7702,jude,0.75,0.75,0.761594150356107
human,original,7702,nicole,0.5,0.5,0.7615941475562781
human,original,7596,kevin,0.6,1.0,0.5370495627285687
human,original,7596,william,0.8,0.8,0.7615941507060856
human,original,7195,jennifer,0.5,1.0,0.46211715332777115
human,original,7150,david,0.0,0.0,0.0
human,original,7150,eric,0.25,0.75,0.32151273354661414
human,original,7150,mark,0.25,0.25,0.7615941391567914
human,original,7065,jude,0.5,1.0,0.46211715332777115
human,original,7065,matt,0.25,0.75,0.32151273354661414
human,original,6921,jude,0.3333333333333333,1.0,0.32151273454286916
human,original,6921,matt,0.8333333333333334,0.8333333333333334,0.7615941509160727
human,original,6921,philip,0.3333333333333333,1.0,0.32151273454286916
human,original,6878,__NO_CHARACTER_MATCH__,,,
human,original,6847,ben,1.0,1.0,0.7615941517560215
human,original,6847,lin,0.0,0.5,0.0
human,original,6729,martin,0.0,0.0,0.0
human,original,6215,jason,0.0,0.3333333333333333,0.0
human,original,6215,nick,0.16666666666666666,0.5,0.32151273155410404
human,original,6111,jason,0.0,1.0,0.0
human,original,6111,nick,0.25,0.25,0.7615941391567914
human,original,5721,__NO_ANNOTATION__,,,
human,original,5540,__NO_ANNOTATION__,,,
human,original,5349,james,0.0,0.4,0.0
human,original,5349,kim,0.2,0.2,0.7615941349570481
human,original,5265,amy,0.5,1.0,0.46211715332777115
human,original,5265,christian,1.0,1.0,0.7615941517560215
human,original,5201,brian,0.8888888888888888,0.8888888888888888,0.7615941512310536
human,original,5201,joan,0.7777777777777778,0.7777777777777778,0.7615941505560947
human,original,5201,julia,0.0,0.4444444444444444,0.0
human,original,5201,matt,0.3333333333333333,0.5555555555555556,0.5370495593129955
human,original,5062,__NO_ANNOTATION__,,,
human,original,5047,__NO_ANNOTATION__,,,
human,original,4797,rene,0.25,0.25,0.7615941391567914
human,original,4797,roger,0.25,0.25,0.7615941391567914
human,original,4173,heath,0.0,0.7142857142857143,0.0
human,original,4173,mel,0.2857142857142857,0.5714285714285714,0.46211715037859213
human,original,4047,__NO_ANNOTATION__,,,
human,original,3891,robert,0.25,0.25,0.7615941391567914
human,original,3891,val,0.5,1.0,0.46211715332777115
human,original,3761,jeff,0.5,1.0,0.46211715332777115
human,original,3761,jim,1.0,1.0,0.7615941517560215
human,original,3295,dane,0.5,1.0,0.46211715332777115
human,original,3295,demi,0.25,0.75,0.32151273354661414
human,original,3230,jean,0.0,0.75,0.0
human,original,3230,tom,0.75,0.75,0.761594150356107
human,original,2926,jeff,0.5,0.5,0.7615941475562781
human,original,2926,jim,1.0,1.0,0.7615941517560215
human,original,2722,__NO_ANNOTATION__,,,
human,original,2702,ben,1.0,1.0,0.7615941517560215
human,original,2400,audrey,0.5,0.5,0.7615941475562781
human,original,2400,cary,0.5,0.5,0.7615941475562781
human,original,2400,george,0.5,1.0,0.46211715332777115
human,original,2400,jacques,0.25,0.75,0.32151273354661414
human,original,1467,anthony,0.5,0.5,0.7615941475562781
human,original,1467,rosario,0.25,0.25,0.7615941391567914
human,original,1214,jack,0.6,1.0,0.5370495627285687
human,original,1201,__NO_ANNOTATION__,,,
human,original,1111,__NO_ANNOTATION__,,,
human,original,948,natalie,1.0,1.0,0.7615941517560215
human,original,948,vincent,0.25,0.25,0.7615941391567914
human,original,733,gary,1.0,1.0,0.7615941517560215
human,original,733,jennifer,0.6,1.0,0.5370495627285687
